title,library,symbol,kind
black-ops-2,coreinit,DCFlushRange,functions
black-ops-2,coreinit,DCInvalidateRange,functions
black-ops-2,coreinit,DCStoreRange,functions
black-ops-2,coreinit,DCZeroRange,functions
black-ops-2,coreinit,ENVGetEnvironmentVariable,functions
black-ops-2,coreinit,FSAddClient,functions
black-ops-2,coreinit,FSChangeDir,functions
black-ops-2,coreinit,FSCloseDir,functions
black-ops-2,coreinit,FSCloseFile,functions
black-ops-2,coreinit,FSDelClient,functions
black-ops-2,coreinit,FSGetLastError,functions
black-ops-2,coreinit,FSGetLastErrorCodeForViewer,functions
black-ops-2,coreinit,FSGetMountSource,functions
black-ops-2,coreinit,FSGetPosFile,functions
black-ops-2,coreinit,FSGetStatFile,functions
black-ops-2,coreinit,FSGetVolumeState,functions
black-ops-2,coreinit,FSInit,functions
black-ops-2,coreinit,FSInitCmdBlock,functions
black-ops-2,coreinit,FSMakeDir,functions
black-ops-2,coreinit,FSMount,functions
black-ops-2,coreinit,FSOpenDir,functions
black-ops-2,coreinit,FSOpenFile,functions
black-ops-2,coreinit,FSReadDir,functions
black-ops-2,coreinit,FSReadFile,functions
black-ops-2,coreinit,FSReadFileWithPos,functions
black-ops-2,coreinit,FSRemove,functions
black-ops-2,coreinit,FSRename,functions
black-ops-2,coreinit,FSSetPosFile,functions
black-ops-2,coreinit,FSSetStateChangeNotification,functions
black-ops-2,coreinit,FSShutdown,functions
black-ops-2,coreinit,FSWriteFile,functions
black-ops-2,coreinit,LCAlloc,functions
black-ops-2,coreinit,LCDealloc,functions
black-ops-2,coreinit,LCDisableDMA,functions
black-ops-2,coreinit,LCEnableDMA,functions
black-ops-2,coreinit,LCGetMaxSize,functions
black-ops-2,coreinit,LCGetUnallocated,functions
black-ops-2,coreinit,LCLoadDMABlocks,functions
black-ops-2,coreinit,LCStoreDMABlocks,functions
black-ops-2,coreinit,LCWaitDMAQueue,functions
black-ops-2,coreinit,MCP_Close,functions
black-ops-2,coreinit,MCP_GetSysProdSettings,functions
black-ops-2,coreinit,MCP_Open,functions
black-ops-2,coreinit,MEMAllocFromDefaultHeap,data
black-ops-2,coreinit,MEMAllocFromDefaultHeapEx,data
black-ops-2,coreinit,MEMAllocFromExpHeapEx,functions
black-ops-2,coreinit,MEMAllocFromFrmHeapEx,functions
black-ops-2,coreinit,MEMCreateExpHeapEx,functions
black-ops-2,coreinit,MEMDestroyExpHeap,functions
black-ops-2,coreinit,MEMFreeToDefaultHeap,data
black-ops-2,coreinit,MEMFreeToExpHeap,functions
black-ops-2,coreinit,MEMFreeToFrmHeap,functions
black-ops-2,coreinit,MEMGetAllocatableSizeForExpHeapEx,functions
black-ops-2,coreinit,MEMGetAllocatableSizeForFrmHeapEx,functions
black-ops-2,coreinit,MEMGetBaseHeapHandle,functions
black-ops-2,coreinit,MEMGetTotalFreeSizeForExpHeap,functions
black-ops-2,coreinit,OSAddAtomic64,functions
black-ops-2,coreinit,OSAndAtomic64,functions
black-ops-2,coreinit,OSBlockMove,functions
black-ops-2,coreinit,OSBlockThreadsOnExit,functions
black-ops-2,coreinit,OSCancelAlarm,functions
black-ops-2,coreinit,OSCancelAlarms,functions
black-ops-2,coreinit,OSCancelThread,functions
black-ops-2,coreinit,OSCompareAndSwapAtomic64,functions
black-ops-2,coreinit,OSCompareAndSwapAtomicEx64,functions
black-ops-2,coreinit,OSConsoleWrite,functions
black-ops-2,coreinit,OSCreateAlarm,functions
black-ops-2,coreinit,OSCreateThread,functions
black-ops-2,coreinit,OSDetachThread,functions
black-ops-2,coreinit,OSDriver_Deregister,functions
black-ops-2,coreinit,OSDriver_Register,functions
black-ops-2,coreinit,OSDynLoad_Acquire,functions
black-ops-2,coreinit,OSDynLoad_FindExport,functions
black-ops-2,coreinit,OSDynLoad_GetNumberOfRPLs,functions
black-ops-2,coreinit,OSDynLoad_GetRPLInfo,functions
black-ops-2,coreinit,OSDynLoad_Release,functions
black-ops-2,coreinit,OSDynLoad_SetAllocator,functions
black-ops-2,coreinit,OSEnableHomeButtonMenu,functions
black-ops-2,coreinit,OSGetAtomic64,functions
black-ops-2,coreinit,OSGetCoreId,functions
black-ops-2,coreinit,OSGetCurrentThread,functions
black-ops-2,coreinit,OSGetSemaphoreCount,functions
black-ops-2,coreinit,OSGetStackPointer,functions
black-ops-2,coreinit,OSGetSystemInfo,functions
black-ops-2,coreinit,OSGetSystemMessageQueue,functions
black-ops-2,coreinit,OSGetThreadAffinity,functions
black-ops-2,coreinit,OSGetThreadName,functions
black-ops-2,coreinit,OSGetThreadPriority,functions
black-ops-2,coreinit,OSGetThreadSpecific,functions
black-ops-2,coreinit,OSGetTick,functions
black-ops-2,coreinit,OSGetTime,functions
black-ops-2,coreinit,OSInitCond,functions
black-ops-2,coreinit,OSInitEvent,functions
black-ops-2,coreinit,OSInitMutex,functions
black-ops-2,coreinit,OSInitSemaphore,functions
black-ops-2,coreinit,OSInitSpinLock,functions
black-ops-2,coreinit,OSIsDebuggerInitialized,functions
black-ops-2,coreinit,OSIsDebuggerPresent,functions
black-ops-2,coreinit,OSIsThreadTerminated,functions
black-ops-2,coreinit,OSJoinThread,functions
black-ops-2,coreinit,OSLockMutex,functions
black-ops-2,coreinit,OSMemoryBarrier,functions
black-ops-2,coreinit,OSOrAtomic64,functions
black-ops-2,coreinit,OSPanic,functions
black-ops-2,coreinit,OSReceiveMessage,functions
black-ops-2,coreinit,OSReleaseForeground,functions
black-ops-2,coreinit,OSReleaseSpinLock,functions
black-ops-2,coreinit,OSReport,functions
black-ops-2,coreinit,OSResetEvent,functions
black-ops-2,coreinit,OSResumeThread,functions
black-ops-2,coreinit,OSSavesDone_ReadyToRelease,functions
black-ops-2,coreinit,OSSetAlarm,functions
black-ops-2,coreinit,OSSetExceptionCallback,functions
black-ops-2,coreinit,OSSetPeriodicAlarm,functions
black-ops-2,coreinit,OSSetThreadAffinity,functions
black-ops-2,coreinit,OSSetThreadName,functions
black-ops-2,coreinit,OSSetThreadPriority,functions
black-ops-2,coreinit,OSSetThreadSpecific,functions
black-ops-2,coreinit,OSSignalCond,functions
black-ops-2,coreinit,OSSignalEvent,functions
black-ops-2,coreinit,OSSignalSemaphore,functions
black-ops-2,coreinit,OSSleepTicks,functions
black-ops-2,coreinit,OSSwapAtomic64,functions
black-ops-2,coreinit,OSTestThreadCancel,functions
black-ops-2,coreinit,OSTryAcquireSpinLockWithTimeout,functions
black-ops-2,coreinit,OSTryLockMutex,functions
black-ops-2,coreinit,OSTryWaitSemaphore,functions
black-ops-2,coreinit,OSUnlockMutex,functions
black-ops-2,coreinit,OSWaitCond,functions
black-ops-2,coreinit,OSWaitEvent,functions
black-ops-2,coreinit,OSWaitEventWithTimeout,functions
black-ops-2,coreinit,OSWaitSemaphore,functions
black-ops-2,coreinit,OSYieldThread,functions
black-ops-2,coreinit,PPCSync,functions
black-ops-2,coreinit,UCClose,functions
black-ops-2,coreinit,UCDeleteSysConfig,functions
black-ops-2,coreinit,UCOpen,functions
black-ops-2,coreinit,UCReadSysConfig,functions
black-ops-2,coreinit,UCWriteSysConfig,functions
black-ops-2,coreinit,_Exit,functions
black-ops-2,coreinit,__atexit_cleanup,data
black-ops-2,coreinit,__cpp_exception_cleanup_ptr,data
black-ops-2,coreinit,__cpp_exception_init_ptr,data
black-ops-2,coreinit,__gh_FOPEN_MAX,data
black-ops-2,coreinit,__gh_errno_ptr,functions
black-ops-2,coreinit,__gh_get_errno,functions
black-ops-2,coreinit,__gh_set_errno,functions
black-ops-2,coreinit,__ghsLock,functions
black-ops-2,coreinit,__ghsUnlock,functions
black-ops-2,coreinit,__ghs_flock_create,functions
black-ops-2,coreinit,__ghs_flock_destroy,functions
black-ops-2,coreinit,__ghs_flock_file,functions
black-ops-2,coreinit,__ghs_flock_ptr,functions
black-ops-2,coreinit,__ghs_ftrylock_file,functions
black-ops-2,coreinit,__ghs_funlock_file,functions
black-ops-2,coreinit,__stdio_cleanup,data
black-ops-2,coreinit,_iob,data
black-ops-2,coreinit,environ,data
black-ops-2,coreinit,exit,functions
black-ops-2,coreinit,memcpy,functions
black-ops-2,coreinit,memmove,functions
black-ops-2,coreinit,memset,functions
black-ops-2,dmae.rpl,DMAECopyMem,functions
black-ops-2,dmae.rpl,DMAEFillMem,functions
black-ops-2,gx2,GX2AllocateTilingApertureEx,functions
black-ops-2,gx2,GX2BeginDisplayListEx,functions
black-ops-2,gx2,GX2CalcColorBufferAuxInfo,functions
black-ops-2,gx2,GX2CalcDRCSize,functions
black-ops-2,gx2,GX2CalcDepthBufferHiZInfo,functions
black-ops-2,gx2,GX2CalcFetchShaderSizeEx,functions
black-ops-2,gx2,GX2CalcSurfaceSizeAndAlignment,functions
black-ops-2,gx2,GX2CalcTVSize,functions
black-ops-2,gx2,GX2CallDisplayList,functions
black-ops-2,gx2,GX2ClearColor,functions
black-ops-2,gx2,GX2ClearDepthStencilEx,functions
black-ops-2,gx2,GX2ConvertDepthBufferToTextureSurface,functions
black-ops-2,gx2,GX2CopyColorBufferToScanBuffer,functions
black-ops-2,gx2,GX2CopyDisplayList,functions
black-ops-2,gx2,GX2DrawEx,functions
black-ops-2,gx2,GX2DrawIndexedEx,functions
black-ops-2,gx2,GX2DrawIndexedImmediateEx,functions
black-ops-2,gx2,GX2EndDisplayList,functions
black-ops-2,gx2,GX2Flush,functions
black-ops-2,gx2,GX2FreeTilingAperture,functions
black-ops-2,gx2,GX2GetLastSubmittedTimeStamp,functions
black-ops-2,gx2,GX2GetRetiredTimeStamp,functions
black-ops-2,gx2,GX2GetSurfaceFormatBits,functions
black-ops-2,gx2,GX2GetSwapStatus,functions
black-ops-2,gx2,GX2GetSystemTVAspectRatio,functions
black-ops-2,gx2,GX2GetSystemTVScanMode,functions
black-ops-2,gx2,GX2Init,functions
