library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,DCFlushRange,functions,1,100.0,yes
coreinit,DCInvalidateRange,functions,1,100.0,no
coreinit,DCStoreRange,functions,1,100.0,yes
coreinit,DCZeroRange,functions,1,100.0,no
coreinit,ENVGetEnvironmentVariable,functions,1,100.0,no
coreinit,FSAddClient,functions,1,100.0,no
coreinit,FSChangeDir,functions,1,100.0,no
coreinit,FSCloseDir,functions,1,100.0,no
coreinit,FSCloseFile,functions,1,100.0,no
coreinit,FSDelClient,functions,1,100.0,no
coreinit,FSGetLastError,functions,1,100.0,no
coreinit,FSGetLastErrorCodeForViewer,functions,1,100.0,no
coreinit,FSGetMountSource,functions,1,100.0,no
coreinit,FSGetPosFile,functions,1,100.0,no
coreinit,FSGetStatFile,functions,1,100.0,no
coreinit,FSGetVolumeState,functions,1,100.0,no
coreinit,FSInit,functions,1,100.0,no
coreinit,FSInitCmdBlock,functions,1,100.0,no
coreinit,FSMakeDir,functions,1,100.0,no
coreinit,FSMount,functions,1,100.0,no
coreinit,FSOpenDir,functions,1,100.0,no
coreinit,FSOpenFile,functions,1,100.0,no
coreinit,FSReadDir,functions,1,100.0,no
coreinit,FSReadFile,functions,1,100.0,no
coreinit,FSReadFileWithPos,functions,1,100.0,no
coreinit,FSRemove,functions,1,100.0,no
coreinit,FSRename,functions,1,100.0,no
coreinit,FSSetPosFile,functions,1,100.0,no
coreinit,FSSetStateChangeNotification,functions,1,100.0,no
coreinit,FSShutdown,functions,1,100.0,no
coreinit,FSWriteFile,functions,1,100.0,no
coreinit,LCAlloc,functions,1,100.0,no
coreinit,LCDealloc,functions,1,100.0,no
coreinit,LCDisableDMA,functions,1,100.0,no
coreinit,LCEnableDMA,functions,1,100.0,no
coreinit,LCGetMaxSize,functions,1,100.0,no
coreinit,LCGetUnallocated,functions,1,100.0,no
coreinit,LCLoadDMABlocks,functions,1,100.0,no
coreinit,LCStoreDMABlocks,functions,1,100.0,no
coreinit,LCWaitDMAQueue,functions,1,100.0,no
coreinit,MCP_Close,functions,1,100.0,no
coreinit,MCP_GetSysProdSettings,functions,1,100.0,no
coreinit,MCP_Open,functions,1,100.0,no
coreinit,MEMAllocFromDefaultHeap,data,1,100.0,no
coreinit,MEMAllocFromDefaultHeapEx,data,1,100.0,no
coreinit,MEMAllocFromExpHeapEx,functions,1,100.0,yes
coreinit,MEMAllocFromFrmHeapEx,functions,1,100.0,yes
coreinit,MEMCreateExpHeapEx,functions,1,100.0,yes
coreinit,MEMDestroyExpHeap,functions,1,100.0,yes
coreinit,MEMFreeToDefaultHeap,data,1,100.0,no
coreinit,MEMFreeToExpHeap,functions,1,100.0,yes
coreinit,MEMFreeToFrmHeap,functions,1,100.0,yes
coreinit,MEMGetAllocatableSizeForExpHeapEx,functions,1,100.0,yes
coreinit,MEMGetAllocatableSizeForFrmHeapEx,functions,1,100.0,yes
coreinit,MEMGetBaseHeapHandle,functions,1,100.0,yes
coreinit,MEMGetTotalFreeSizeForExpHeap,functions,1,100.0,yes
coreinit,OSAddAtomic64,functions,1,100.0,no
coreinit,OSAndAtomic64,functions,1,100.0,no
coreinit,OSBlockMove,functions,1,100.0,no
coreinit,OSBlockThreadsOnExit,functions,1,100.0,no
coreinit,OSCancelAlarm,functions,1,100.0,no
coreinit,OSCancelAlarms,functions,1,100.0,no
coreinit,OSCancelThread,functions,1,100.0,no
coreinit,OSCompareAndSwapAtomic64,functions,1,100.0,no
coreinit,OSCompareAndSwapAtomicEx64,functions,1,100.0,no
coreinit,OSConsoleWrite,functions,1,100.0,yes
coreinit,OSCreateAlarm,functions,1,100.0,no
coreinit,OSCreateThread,functions,1,100.0,yes
coreinit,OSDetachThread,functions,1,100.0,no
coreinit,OSDriver_Deregister,functions,1,100.0,no
coreinit,OSDriver_Register,functions,1,100.0,no
coreinit,OSDynLoad_Acquire,functions,1,100.0,no
coreinit,OSDynLoad_FindExport,functions,1,100.0,no
coreinit,OSDynLoad_GetNumberOfRPLs,functions,1,100.0,no
coreinit,OSDynLoad_GetRPLInfo,functions,1,100.0,no
coreinit,OSDynLoad_Release,functions,1,100.0,no
coreinit,OSDynLoad_SetAllocator,functions,1,100.0,no
coreinit,OSEnableHomeButtonMenu,functions,1,100.0,no
coreinit,OSGetAtomic64,functions,1,100.0,no
coreinit,OSGetCoreId,functions,1,100.0,yes
coreinit,OSGetCurrentThread,functions,1,100.0,yes
coreinit,OSGetSemaphoreCount,functions,1,100.0,no
coreinit,OSGetStackPointer,functions,1,100.0,no
coreinit,OSGetSystemInfo,functions,1,100.0,yes
coreinit,OSGetSystemMessageQueue,functions,1,100.0,no
coreinit,OSGetThreadAffinity,functions,1,100.0,yes
coreinit,OSGetThreadName,functions,1,100.0,yes
coreinit,OSGetThreadPriority,functions,1,100.0,yes
coreinit,OSGetThreadSpecific,functions,1,100.0,yes
coreinit,OSGetTick,functions,1,100.0,yes
coreinit,OSGetTime,functions,1,100.0,yes
coreinit,OSInitCond,functions,1,100.0,yes
coreinit,OSInitEvent,functions,1,100.0,no
coreinit,OSInitMutex,functions,1,100.0,yes
coreinit,OSInitSemaphore,functions,1,100.0,no
coreinit,OSInitSpinLock,functions,1,100.0,no
coreinit,OSIsDebuggerInitialized,functions,1,100.0,no
coreinit,OSIsDebuggerPresent,functions,1,100.0,no
coreinit,OSIsThreadTerminated,functions,1,100.0,no
coreinit,OSJoinThread,functions,1,100.0,yes
coreinit,OSLockMutex,functions,1,100.0,yes
coreinit,OSMemoryBarrier,functions,1,100.0,no
coreinit,OSOrAtomic64,functions,1,100.0,no
coreinit,OSPanic,functions,1,100.0,no
coreinit,OSReceiveMessage,functions,1,100.0,no
coreinit,OSReleaseForeground,functions,1,100.0,no
coreinit,OSReleaseSpinLock,functions,1,100.0,no
coreinit,OSReport,functions,1,100.0,yes
coreinit,OSResetEvent,functions,1,100.0,no
coreinit,OSResumeThread,functions,1,100.0,yes
coreinit,OSSavesDone_ReadyToRelease,functions,1,100.0,yes
coreinit,OSSetAlarm,functions,1,100.0,no
coreinit,OSSetExceptionCallback,functions,1,100.0,no
coreinit,OSSetPeriodicAlarm,functions,1,100.0,no
coreinit,OSSetThreadAffinity,functions,1,100.0,yes
coreinit,OSSetThreadName,functions,1,100.0,yes
coreinit,OSSetThreadPriority,functions,1,100.0,yes
coreinit,OSSetThreadSpecific,functions,1,100.0,yes
coreinit,OSSignalCond,functions,1,100.0,yes
coreinit,OSSignalEvent,functions,1,100.0,no
coreinit,OSSignalSemaphore,functions,1,100.0,no
