title,library,symbol,kind
crispy-doom-u,coreinit,DCFlushRange,functions
crispy-doom-u,coreinit,DCStoreRange,functions
crispy-doom-u,coreinit,FSAAddClient,functions
crispy-doom-u,coreinit,FSAChangeDir,functions
crispy-doom-u,coreinit,FSAChangeMode,functions
crispy-doom-u,coreinit,FSACloseDir,functions
crispy-doom-u,coreinit,FSACloseFile,functions
crispy-doom-u,coreinit,FSADelClient,functions
crispy-doom-u,coreinit,FSAFlushFile,functions
crispy-doom-u,coreinit,FSAGetDeviceInfo,functions
crispy-doom-u,coreinit,FSAGetFreeSpaceSize,functions
crispy-doom-u,coreinit,FSAGetStat,functions
crispy-doom-u,coreinit,FSAGetStatFile,functions
crispy-doom-u,coreinit,FSAInit,functions
crispy-doom-u,coreinit,FSAMakeDir,functions
crispy-doom-u,coreinit,FSAMount,functions
crispy-doom-u,coreinit,FSAOpenDir,functions
crispy-doom-u,coreinit,FSAOpenFileEx,functions
crispy-doom-u,coreinit,FSAReadDir,functions
crispy-doom-u,coreinit,FSAReadFile,functions
crispy-doom-u,coreinit,FSARemove,functions
crispy-doom-u,coreinit,FSARename,functions
crispy-doom-u,coreinit,FSARewindDir,functions
crispy-doom-u,coreinit,FSASetPosFile,functions
crispy-doom-u,coreinit,FSATruncateFile,functions
crispy-doom-u,coreinit,FSAUnmount,functions
crispy-doom-u,coreinit,FSAWriteFile,functions
crispy-doom-u,coreinit,MEMAllocFromDefaultHeap,data
crispy-doom-u,coreinit,MEMAllocFromDefaultHeapEx,data
crispy-doom-u,coreinit,MEMAllocFromExpHeapEx,functions
crispy-doom-u,coreinit,MEMAllocFromFrmHeapEx,functions
crispy-doom-u,coreinit,MEMCreateExpHeapEx,functions
crispy-doom-u,coreinit,MEMDestroyExpHeap,functions
crispy-doom-u,coreinit,MEMFreeByStateToFrmHeap,functions
crispy-doom-u,coreinit,MEMFreeToDefaultHeap,data
crispy-doom-u,coreinit,MEMFreeToExpHeap,functions
crispy-doom-u,coreinit,MEMFreeToFrmHeap,functions
crispy-doom-u,coreinit,MEMGetAllocatableSizeForExpHeapEx,functions
crispy-doom-u,coreinit,MEMGetAllocatableSizeForFrmHeapEx,functions
crispy-doom-u,coreinit,MEMGetBaseHeapHandle,functions
crispy-doom-u,coreinit,MEMRecordStateForFrmHeap,functions
crispy-doom-u,coreinit,OSAddAtomic,functions
crispy-doom-u,coreinit,OSCancelAlarm,functions
crispy-doom-u,coreinit,OSCompareAndSwapAtomic,functions
crispy-doom-u,coreinit,OSCompareAndSwapAtomicEx,functions
crispy-doom-u,coreinit,OSCreateAlarm,functions
crispy-doom-u,coreinit,OSCreateThread,functions
crispy-doom-u,coreinit,OSEffectiveToPhysical,functions
crispy-doom-u,coreinit,OSEnableHomeButtonMenu,functions
crispy-doom-u,coreinit,OSFatal,functions
crispy-doom-u,coreinit,OSGetAlarmUserData,functions
crispy-doom-u,coreinit,OSGetCoreId,functions
crispy-doom-u,coreinit,OSGetCurrentThread,functions
crispy-doom-u,coreinit,OSGetSystemInfo,functions
crispy-doom-u,coreinit,OSGetSystemTime,functions
crispy-doom-u,coreinit,OSGetThreadAffinity,functions
crispy-doom-u,coreinit,OSGetThreadPriority,functions
crispy-doom-u,coreinit,OSGetThreadSpecific,functions
crispy-doom-u,coreinit,OSGetTime,functions
crispy-doom-u,coreinit,OSGetTitleID,functions
crispy-doom-u,coreinit,OSInitCond,functions
crispy-doom-u,coreinit,OSInitMutex,functions
crispy-doom-u,coreinit,OSInitMutexEx,functions
crispy-doom-u,coreinit,OSInitSemaphore,functions
crispy-doom-u,coreinit,OSInitSpinLock,functions
crispy-doom-u,coreinit,OSIsDebuggerInitialized,functions
crispy-doom-u,coreinit,OSIsDebuggerPresent,functions
crispy-doom-u,coreinit,OSJoinThread,functions
crispy-doom-u,coreinit,OSLockMutex,functions
crispy-doom-u,coreinit,OSMemoryBarrier,functions
crispy-doom-u,coreinit,OSReport,functions
crispy-doom-u,coreinit,OSResumeThread,functions
crispy-doom-u,coreinit,OSSavesDone_ReadyToRelease,functions
crispy-doom-u,coreinit,OSScreenClearBufferEx,functions
crispy-doom-u,coreinit,OSScreenEnableEx,functions
crispy-doom-u,coreinit,OSScreenFlipBuffersEx,functions
crispy-doom-u,coreinit,OSScreenGetBufferSizeEx,functions
crispy-doom-u,coreinit,OSScreenInit,functions
crispy-doom-u,coreinit,OSScreenPutFontEx,functions
crispy-doom-u,coreinit,OSScreenSetBufferEx,functions
crispy-doom-u,coreinit,OSScreenShutdown,functions
crispy-doom-u,coreinit,OSSetAlarm,functions
crispy-doom-u,coreinit,OSSetAlarmUserData,functions
crispy-doom-u,coreinit,OSSetThreadAffinity,functions
crispy-doom-u,coreinit,OSSetThreadCleanupCallback,functions
crispy-doom-u,coreinit,OSSetThreadDeallocator,functions
crispy-doom-u,coreinit,OSSetThreadName,functions
crispy-doom-u,coreinit,OSSetThreadPriority,functions
crispy-doom-u,coreinit,OSSetThreadSpecific,functions
crispy-doom-u,coreinit,OSSignalCond,functions
crispy-doom-u,coreinit,OSSignalSemaphore,functions
crispy-doom-u,coreinit,OSSleepTicks,functions
crispy-doom-u,coreinit,OSSwapAtomic,functions
crispy-doom-u,coreinit,OSTryWaitSemaphore,functions
crispy-doom-u,coreinit,OSUninterruptibleSpinLock_Acquire,functions
crispy-doom-u,coreinit,OSUninterruptibleSpinLock_Release,functions
crispy-doom-u,coreinit,OSUnlockMutex,functions
crispy-doom-u,coreinit,OSWaitCond,functions
crispy-doom-u,coreinit,_Exit,functions
crispy-doom-u,coreinit,__os_snprintf,functions
crispy-doom-u,coreinit,exit,functions
