library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,MEMAllocFromExpHeapEx,functions,4,100.0,yes
coreinit,MEMAllocFromFrmHeapEx,functions,4,100.0,yes
coreinit,MEMFreeByStateToFrmHeap,functions,4,100.0,yes
coreinit,MEMFreeToExpHeap,functions,4,100.0,yes
coreinit,MEMGetBaseHeapHandle,functions,4,100.0,yes
coreinit,MEMRecordStateForFrmHeap,functions,4,100.0,yes
coreinit,OSGetCoreId,functions,4,100.0,yes
coreinit,OSGetCurrentThread,functions,4,100.0,yes
coreinit,OSGetSystemInfo,functions,4,100.0,yes
coreinit,OSGetTime,functions,4,100.0,yes
coreinit,OSGetTitleID,functions,4,100.0,yes
coreinit,OSLockMutex,functions,4,100.0,yes
coreinit,OSSavesDone_ReadyToRelease,functions,4,100.0,yes
coreinit,OSSetThreadCleanupCallback,functions,4,100.0,yes
coreinit,OSSleepTicks,functions,4,100.0,yes
coreinit,OSUnlockMutex,functions,4,100.0,yes
coreinit,exit,functions,4,100.0,yes
proc_ui,ProcUIInitEx,functions,4,100.0,no
coreinit,DCFlushRange,functions,3,75.0,yes
coreinit,DCStoreRange,functions,3,75.0,yes
coreinit,MEMAllocFromDefaultHeap,data,3,75.0,no
coreinit,MEMAllocFromDefaultHeapEx,data,3,75.0,no
coreinit,MEMCreateExpHeapEx,functions,3,75.0,yes
coreinit,MEMDestroyExpHeap,functions,3,75.0,yes
coreinit,MEMFreeToDefaultHeap,data,3,75.0,no
coreinit,MEMFreeToFrmHeap,functions,3,75.0,yes
coreinit,MEMGetAllocatableSizeForExpHeapEx,functions,3,75.0,yes
coreinit,MEMGetAllocatableSizeForFrmHeapEx,functions,3,75.0,yes
coreinit,OSCancelAlarm,functions,3,75.0,yes
coreinit,OSCreateAlarm,functions,3,75.0,yes
coreinit,OSCreateThread,functions,3,75.0,yes
coreinit,OSEnableHomeButtonMenu,functions,3,75.0,no
coreinit,OSFatal,functions,3,75.0,yes
coreinit,OSGetAlarmUserData,functions,3,75.0,yes
coreinit,OSGetSystemTime,functions,3,75.0,yes
coreinit,OSGetThreadAffinity,functions,3,75.0,yes
coreinit,OSGetThreadPriority,functions,3,75.0,yes
coreinit,OSGetThreadSpecific,functions,3,75.0,yes
coreinit,OSInitCond,functions,3,75.0,yes
coreinit,OSInitMutex,functions,3,75.0,yes
coreinit,OSInitMutexEx,functions,3,75.0,yes
coreinit,OSInitSemaphore,functions,3,75.0,yes
coreinit,OSInitSpinLock,functions,3,75.0,yes
coreinit,OSJoinThread,functions,3,75.0,yes
coreinit,OSReport,functions,3,75.0,yes
coreinit,OSResumeThread,functions,3,75.0,yes
coreinit,OSScreenClearBufferEx,functions,3,75.0,no
coreinit,OSScreenEnableEx,functions,3,75.0,no
coreinit,OSScreenFlipBuffersEx,functions,3,75.0,no
coreinit,OSScreenGetBufferSizeEx,functions,3,75.0,no
coreinit,OSScreenInit,functions,3,75.0,no
coreinit,OSScreenPutFontEx,functions,3,75.0,no
coreinit,OSScreenSetBufferEx,functions,3,75.0,no
coreinit,OSSetAlarm,functions,3,75.0,yes
coreinit,OSSetAlarmUserData,functions,3,75.0,yes
coreinit,OSSetThreadAffinity,functions,3,75.0,yes
coreinit,OSSetThreadDeallocator,functions,3,75.0,yes
coreinit,OSSetThreadPriority,functions,3,75.0,yes
coreinit,OSSetThreadSpecific,functions,3,75.0,yes
coreinit,OSSignalCond,functions,3,75.0,yes
coreinit,OSSignalSemaphore,functions,3,75.0,yes
coreinit,OSTicksToCalendarTime,functions,3,75.0,yes
coreinit,OSTryWaitSemaphore,functions,3,75.0,yes
coreinit,OSUninterruptibleSpinLock_Acquire,functions,3,75.0,yes
coreinit,OSUninterruptibleSpinLock_Release,functions,3,75.0,yes
coreinit,OSWaitCond,functions,3,75.0,yes
coreinit,__os_snprintf,functions,3,75.0,yes
gx2,GX2CalcDRCSize,functions,3,75.0,no
gx2,GX2CalcFetchShaderSizeEx,functions,3,75.0,no
gx2,GX2CalcSurfaceSizeAndAlignment,functions,3,75.0,no
gx2,GX2CalcTVSize,functions,3,75.0,no
gx2,GX2ClearColor,functions,3,75.0,no
gx2,GX2CopyColorBufferToScanBuffer,functions,3,75.0,no
gx2,GX2DrawDone,functions,3,75.0,no
gx2,GX2DrawEx,functions,3,75.0,no
gx2,GX2Flush,functions,3,75.0,no
gx2,GX2GetSystemDRCScanMode,functions,3,75.0,no
gx2,GX2GetSystemTVScanMode,functions,3,75.0,no
gx2,GX2Init,functions,3,75.0,no
gx2,GX2InitColorBufferRegs,functions,3,75.0,no
gx2,GX2InitFetchShaderEx,functions,3,75.0,no
gx2,GX2InitSampler,functions,3,75.0,no
gx2,GX2InitTextureRegs,functions,3,75.0,no
gx2,GX2Invalidate,functions,3,75.0,no
gx2,GX2RCreateBuffer,functions,3,75.0,no
gx2,GX2RCreateSurface,functions,3,75.0,no
gx2,GX2RCreateSurfaceUserMemory,functions,3,75.0,no
gx2,GX2RDestroyBufferEx,functions,3,75.0,no
gx2,GX2RDestroySurfaceEx,functions,3,75.0,no
gx2,GX2RLockBufferEx,functions,3,75.0,no
gx2,GX2RLockSurfaceEx,functions,3,75.0,no
gx2,GX2RSetAllocator,functions,3,75.0,no
gx2,GX2RSetAttributeBuffer,functions,3,75.0,no
gx2,GX2RUnlockBufferEx,functions,3,75.0,no
gx2,GX2RUnlockSurfaceEx,functions,3,75.0,no
gx2,GX2SetAlphaTest,functions,3,75.0,no
gx2,GX2SetBlendControl,functions,3,75.0,no
gx2,GX2SetColorBuffer,functions,3,75.0,no
gx2,GX2SetColorControl,functions,3,75.0,no
gx2,GX2SetContextState,functions,3,75.0,no
gx2,GX2SetCullOnlyControl,functions,3,75.0,no
gx2,GX2SetDRCBuffer,functions,3,75.0,no
gx2,GX2SetDRCEnable,functions,3,75.0,no
gx2,GX2SetDRCScale,functions,3,75.0,no
gx2,GX2SetDepthOnlyControl,functions,3,75.0,no
gx2,GX2SetFetchShader,functions,3,75.0,no
gx2,GX2SetLineWidth,functions,3,75.0,no
gx2,GX2SetPixelSampler,functions,3,75.0,no
gx2,GX2SetPixelShader,functions,3,75.0,no
gx2,GX2SetPixelTexture,functions,3,75.0,no
gx2,GX2SetPointSize,functions,3,75.0,no
gx2,GX2SetScissor,functions,3,75.0,no
gx2,GX2SetSwapInterval,functions,3,75.0,no
gx2,GX2SetTVBuffer,functions,3,75.0,no
gx2,GX2SetTVEnable,functions,3,75.0,no
gx2,GX2SetTVScale,functions,3,75.0,no
gx2,GX2SetVertexShader,functions,3,75.0,no
gx2,GX2SetVertexUniformReg,functions,3,75.0,no
gx2,GX2SetViewport,functions,3,75.0,no
gx2,GX2SetupContextStateEx,functions,3,75.0,no
gx2,GX2Shutdown,functions,3,75.0,no
gx2,GX2SwapScanBuffers,functions,3,75.0,no
proc_ui,ProcUIDrawDoneRelease,functions,3,75.0,no
proc_ui,ProcUIProcessMessages,functions,3,75.0,no
proc_ui,ProcUIRegisterCallback,functions,3,75.0,no
proc_ui,ProcUIShutdown,functions,3,75.0,no
proc_ui,ProcUISubProcessMessages,functions,3,75.0,no
sndcore2,AXAcquireVoice,functions,3,75.0,no
sndcore2,AXFreeVoice,functions,3,75.0,no
sndcore2,AXGetInputSamplesPerFrame,functions,3,75.0,no
sndcore2,AXGetInputSamplesPerSec,functions,3,75.0,no
sndcore2,AXGetVoiceLoopCount,functions,3,75.0,no
sndcore2,AXGetVoiceOffsets,functions,3,75.0,no
sndcore2,AXInitWithParams,functions,3,75.0,no
sndcore2,AXIsInit,functions,3,75.0,no
sndcore2,AXQuit,functions,3,75.0,no
sndcore2,AXRegisterAppFrameCallback,functions,3,75.0,no
sndcore2,AXSetVoiceDeviceMix,functions,3,75.0,no
sndcore2,AXSetVoiceEndOffset,functions,3,75.0,no
sndcore2,AXSetVoiceLoopOffset,functions,3,75.0,no
sndcore2,AXSetVoiceOffsets,functions,3,75.0,no
sndcore2,AXSetVoiceSrcRatio,functions,3,75.0,no
sndcore2,AXSetVoiceSrcType,functions,3,75.0,no
sndcore2,AXSetVoiceState,functions,3,75.0,no
sndcore2,AXSetVoiceType,functions,3,75.0,no
sndcore2,AXSetVoiceVe,functions,3,75.0,no
sysapp,SYSRelaunchTitle,functions,3,75.0,no
vpad,VPADGetTPCalibratedPoint,functions,3,75.0,no
vpad,VPADInit,functions,3,75.0,no
vpad,VPADRead,functions,3,75.0,no
coreinit,FSAAddClient,functions,2,50.0,no
coreinit,FSAChangeDir,functions,2,50.0,no
coreinit,FSAChangeMode,functions,2,50.0,no
coreinit,FSACloseDir,functions,2,50.0,no
coreinit,FSACloseFile,functions,2,50.0,no
coreinit,FSADelClient,functions,2,50.0,no
coreinit,FSAFlushFile,functions,2,50.0,no
coreinit,FSAGetDeviceInfo,functions,2,50.0,no
coreinit,FSAGetFreeSpaceSize,functions,2,50.0,no
coreinit,FSAGetStat,functions,2,50.0,no
coreinit,FSAGetStatFile,functions,2,50.0,no
coreinit,FSAInit,functions,2,50.0,no
coreinit,FSAMakeDir,functions,2,50.0,no
coreinit,FSAMount,functions,2,50.0,no
coreinit,FSAOpenDir,functions,2,50.0,no
coreinit,FSAOpenFileEx,functions,2,50.0,no
coreinit,FSAReadDir,functions,2,50.0,no
coreinit,FSAReadFile,functions,2,50.0,no
coreinit,FSARemove,functions,2,50.0,no
coreinit,FSARename,functions,2,50.0,no
coreinit,FSARewindDir,functions,2,50.0,no
coreinit,FSASetPosFile,functions,2,50.0,no
coreinit,FSATruncateFile,functions,2,50.0,no
coreinit,FSAUnmount,functions,2,50.0,no
coreinit,FSAWriteFile,functions,2,50.0,no
coreinit,FSAddClient,functions,2,50.0,yes
coreinit,FSChangeDir,functions,2,50.0,yes
coreinit,FSChangeMode,functions,2,50.0,no
coreinit,FSCloseDir,functions,2,50.0,yes
coreinit,FSCloseFile,functions,2,50.0,yes
coreinit,FSDelClient,functions,2,50.0,yes
coreinit,FSFlushFile,functions,2,50.0,no
coreinit,FSGetMountSource,functions,2,50.0,yes
